hour_of_day,day_of_week,is_weekend,occupancy_rate,price
4,5,1,0.07,40.0
15,5,1,0.35,50.0
19,6,1,0.86,75.0
2,4,0,0.05,40.0
8,2,0,0.23,50.0
12,4,0,0.04,50.0
16,5,1,0.34,50.0
7,3,0,0.09,50.0
0,3,0,0.03,40.0
18,1,0,0.43,50.0
23,4,0,0.31,50.0
0,1,0,0.09,40.0
13,6,1,0.27,50.0
0,1,0,0.06,40.0
4,0,0,0.07,40.0
1,6,1,0.02,40.0
14,2,0,0.03,50.0
7,1,0,0.25,50.0
19,0,0,0.73,60.0
14,0,0,0.21,50.0
23,5,1,0.18,50.0
17,6,1,0.05,50.0
8,5,1,0.36,50.0
19,0,0,0.79,60.0
17,4,0,0.7,60.0
13,3,0,0.05,50.0
3,3,0,0.0,40.0
15,5,1,0.18,50.0
9,3,0,0.64,60.0
3,5,1,0.09,40.0
16,2,0,0.06,50.0
18,5,1,0.48,50.0
20,2,0,0.09,50.0
2,0,0,0.07,40.0
10,3,0,0.63,60.0
14,4,0,0.31,50.0
14,1,0,0.15,50.0
21,0,0,0.31,50.0
23,1,0,0.22,50.0
4,4,0,0.05,40.0
23,2,0,0.21,50.0
14,4,0,0.21,50.0
16,6,1,0.34,50.0
2,3,0,0.1,40.0
9,4,0,0.77,60.0
4,2,0,0.02,40.0
7,5,1,0.11,50.0
8,6,1,0.07,50.0
6,1,0,0.22,50.0
13,2,0,0.04,50.0
12,5,1,0.09,50.0
19,4,0,0.37,50.0
18,1,0,0.58,60.0
11,0,0,0.58,60.0
21,3,0,0.3,50.0
16,5,1,0.29,50.0
21,5,1,0.61,60.0
2,3,0,0.05,40.0
12,1,0,0.01,50.0
8,3,0,0.04,50.0
3,3,0,0.05,40.0
16,6,1,0.06,50.0
20,3,0,0.06,50.0
2,5,1,0.02,40.0
5,6,1,0.03,40.0
16,1,0,0.29,50.0
2,5,1,0.04,40.0
14,4,0,0.2,50.0
8,1,0,0.18,50.0
5,6,1,0.03,40.0
14,2,0,0.11,50.0
21,5,1,0.62,60.0
14,6,1,0.03,50.0
4,6,1,0.09,40.0
1,1,0,0.03,40.0
17,5,1,0.39,50.0
11,0,0,0.47,50.0
23,0,0,0.1,50.0
10,4,0,0.49,50.0
5,6,1,0.23,50.0
7,5,1,0.19,50.0
8,3,0,0.11,50.0
9,0,0,0.81,75.0
2,4,0,0.08,40.0
5,4,0,0.33,50.0
2,0,0,0.08,40.0
1,0,0,0.09,40.0
10,3,0,0.66,60.0
11,4,0,0.47,50.0
21,0,0,0.1,50.0
18,4,0,0.46,50.0
7,1,0,0.05,50.0
